Date,Open,High,Low,Close,Adj Close,Volume
29/10/2010,23.15,23.15,23.049999,23.049999,21.244089,2080560896
1/11/2010,23.6,23.6,23.209999,23.209999,21.391556,354288959
2/11/2010,23,23,22.549999,22.6,20.829344,165795570
3/11/2010,22.65,22.799999,22.450001,22.65,20.875427,181364196
4/11/2010,22.75,22.9,22.700001,22.9,21.105841,107108566
5/11/2010,23.200001,23.75,23,23.049999,21.244089,218154896
8/11/2010,23.1,23.700001,23.1,23.700001,21.843164,151807278
9/11/2010,23.6,23.950001,23.5,23.75,21.889246,186787428
10/11/2010,23.65,23.65,23.15,23.6,21.750998,170176318
11/11/2010,23.85,24.6,23.549999,24.450001,22.534405,609203714
12/11/2010,24,24,23.35,23.4,21.566666,181891552
15/11/2010,23.85,23.85,23.25,23.450001,21.612751,58157760
16/11/2010,23.6,23.6,22.950001,23.4,21.566666,66258996
17/11/2010,23.15,23.299999,22.700001,22.799999,21.013672,80271002
18/11/2010,23.15,23.4,23,23.299999,21.474503,58038403
19/11/2010,23.4,23.4,22.278,23.25,21.428419,34120123
22/11/2010,23.25,23.299999,22.9,22.950001,21.151926,42937986
23/11/2010,22.799999,23.049999,22.65,22.75,20.967594,57604845
24/11/2010,22.75,22.9,22.5,22.700001,20.921509,71606551
25/11/2010,22.9,22.9,22.5,22.65,20.875427,33543250
26/11/2010,22.549999,22.65,22.4,22.549999,20.78326,36355685
29/11/2010,22.4,22.700001,22.4,22.6,20.829344,29478529
30/11/2010,22.549999,22.65,22.200001,22.450001,20.691097,56358898
1/12/2010,22.700001,23.1,22.549999,22.9,21.105841,72802933
2/12/2010,23.25,23.450001,22.6,22.75,20.967594,151491194
3/12/2010,22.549999,22.75,22.5,22.6,20.829344,90298637
6/12/2010,22.799999,22.85,22.4,22.450001,20.691097,43998297
7/12/2010,22.35,22.6,22.200001,22.450001,20.691097,33546242
8/12/2010,22.549999,22.700001,22.4,22.5,20.737181,54554172
9/12/2010,22.5,22.6,22.35,22.4,20.645012,30037818
10/12/2010,22.25,22.4,22.15,22.25,20.506765,37053699
13/12/2010,22.35,22.5,22.200001,22.299999,20.552847,37861133
14/12/2010,22.25,22.35,22.1,22.1,20.368521,29359733
15/12/2010,22.15,22.25,21.950001,22.1,20.368521,59685146
16/12/2010,22.1,22.15,21.85,21.9,20.184189,54384062
17/12/2010,22,22.5,21.950001,22.35,20.598932,44284986
20/12/2010,22.35,22.35,22,22.15,20.414602,21985958
21/12/2010,22.200001,22.299999,22.049999,22.1,20.368521,16351247
22/12/2010,22.049999,22.15,21.75,21.85,20.138105,57414850
23/12/2010,22,22.15,21.85,21.950001,20.230272,38906764
